1,2,3,4,5,6,7,8,9,10
50,56.26843942,65.55763205,70.46896837,71.17027114,74.58686184,74.58686184,74.58686184,74.58686184,74.58686184
50,93.73156058,90.71080737,95.08866368,99.29869723,96.5834093,100,100,100,100
,87.3165342,96.26890813,97.92897665,98.7858961,98.7858961,98.7858961,98.7858961,98.7858961,98.7858961
,62.6834658,91.04762606,98.33993148,99.14308055,100,100,100,100,100
,,94.79462894,97.22681727,100,100,100,100,100,100
,,98.93693164,97.56781167,97.22681727,100,100,100,100,100
,,92.76316066,94.35710521,96.08079056,96.85214865,100,100,100,100
,,69.92030514,98.40605545,98.27631465,99.22864191,96.85214865,100,100,100
,,,96.6894378,96.6894378,98.34950632,98.34950632,98.34950632,99.50965588,99.50965588
,,,94.02136957,100,98.33993148,100,100,98.83985043,100
,,,96.71958841,96.71958841,100,100,100,100,100
,,,94.32803765,100,96.71958841,100,100,100,100
,,,99.32766683,99.32766683,99.32766683,99.32766683,99.32766683,100,100
,,,99.60926481,100,100,100,100,99.32766683,100
,,,98.42309205,100,100,100,100,100,100
,,,71.49721309,98.42309205,100,100,100,100,100
,,,,97.19297192,98.40707583,100,100,100,100
,,,,97.89569175,98.7858961,98.40707583,100,100,100
,,,,98.33993148,98.33993148,98.33993148,100,100,100
,,,,100,100,100,98.33993148,100,100
,,,,98.04683809,99.56620501,99.56620501,100,100,100
,,,,99.52097358,98.48063308,100,99.56620501,100,100
,,,,99.56620501,99.56620501,100,100,100,100
,,,,98.83985043,100,99.56620501,100,100,100
,,,,94.02136957,97.00666052,100,100,100,100
,,,,100,97.01470905,97.00666052,100,100,100
,,,,95.84740457,98.86914337,98.86914337,98.86914337,100,100
,,,,98.48063308,96.9782612,100,100,98.86914337,100
,,,,99.60926481,100,100,100,100,100
,,,,100,99.60926481,100,100,100,100
,,,,97.44943524,98.8851344,100,100,100,100
,,,,74.04777785,98.56430084,98.8851344,100,100,100
,,,,,100,100,100,100,100
,,,,,99.29869723,100,100,100,100
,,,,,100,100,100,100,100
,,,,,99.14308055,100,100,100,100
,,,,,99.46091601,99.46091601,99.46091601,99.46091601,99.46091601
,,,,,97.76590125,100,100,100,100
,,,,,98.66704984,98.66704984,98.66704984,100,100
,,,,,99.60926481,100,100,98.66704984,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,99.09542522,100,100,100,100
,,,,,99.32766683,99.09542522,100,100,100
,,,,,100,100,100,100,100
,,,,,97.89569175,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,99.52097358,99.52097358,100,100,100
,,,,,100,100,99.52097358,100,100
,,,,,98.83985043,98.83985043,100,100,100
,,,,,100,100,98.83985043,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,98.48063308,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,99.46091601,100,100,100,100
,,,,,74.58686184,99.46091601,100,100,100
,,,,,,98.86914337,100,100,100
,,,,,,97.71426593,98.86914337,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,99.22864191,100,100,100
,,,,,,98.33993148,98.33993148,98.33993148,98.33993148
,,,,,,100,100,100,100
,,,,,,98.80835312,98.80835312,99.50965588,100
,,,,,,97.9112353,100,99.29869723,99.50965588
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
