LINEAGE,0
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.50000000000001
GENERATION,4,93.75
GENERATION,5,96.87500000000001
GENERATION,6,98.43749999999997
GENERATION,7,99.20634920634919
GENERATION,8,99.60601845823288
GENERATION,9,99.79799285976132
GENERATION,10,99.89601301889246
GENERATION,11,99.95922418916763
GENERATION,12,99.97365769043185
GENERATION,13,99.98479167616962
GENERATION,14,99.98997930425001
GENERATION,15,99.99928871595044
GENERATION,16,99.99974731306348
GENERATION,17,100.0
GENERATION,18,100.0
GENERATION,19,100.0
GENERATION,20,100.0
GENERATION,21,100.0
GENERATION,22,100.0
GENERATION,23,100.0
GENERATION,24,100.0
GENERATION,25,100.0
GENERATION,26,100.0
LINEAGE,1
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.74999999999999
GENERATION,5,96.875
GENERATION,6,98.40859597026092
GENERATION,7,99.40259151830705
GENERATION,8,99.69432191722399
GENERATION,9,99.82847975147327
GENERATION,10,99.9092090823297
GENERATION,11,99.94473726949592
GENERATION,12,99.96526187813261
GENERATION,13,99.99330747589399
GENERATION,14,99.99691202494677
GENERATION,15,99.99838412694162
GENERATION,16,99.99840818919792
GENERATION,17,99.99895461680406
GENERATION,18,100.0
GENERATION,19,100.0
GENERATION,20,100.0
GENERATION,21,100.0
GENERATION,22,100.0
GENERATION,23,100.0
GENERATION,24,100.0
GENERATION,25,100.0
GENERATION,26,100.0
LINEAGE,2
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.75000000000001
GENERATION,5,96.74483201773864
GENERATION,6,98.31629242296827
GENERATION,7,99.04658911627557
GENERATION,8,99.47972685042589
GENERATION,9,99.68721830674738
GENERATION,10,99.87959754348056
GENERATION,11,99.92792090156391
GENERATION,12,99.98817731411569
GENERATION,13,99.99198606392412
GENERATION,14,99.99383878963144
GENERATION,15,99.99857603925535
GENERATION,16,100.0
GENERATION,17,100.0
GENERATION,18,100.0
GENERATION,19,100.0
GENERATION,20,100.0
GENERATION,21,100.0
GENERATION,22,100.0
