1,2,3,4,5,6,7,8,9,10
50,57.21796973,96.23629918,98.74961549,98.33993148,97.7089938,98.40707583,98.40707583,100,100
50,92.78203027,94.09723801,95.34762252,97.00769103,99.29869723,100,100,98.40707583,100
50,90.33353719,95.85295069,98.8851344,100,100,99.04332726,99.04332726,100,99.04332726
,59.66646281,96.92907958,96.96781629,98.74961549,98.40174044,100,100,100,100
,,65.61754766,98.52733914,98.40174044,100,99.29869723,100,100,100
,,91.60042208,98.40174044,100,100,100,100,99.04332726,100
,,90.68970385,94.65824261,94.65824261,98.40707583,97.7089938,100,100,100
,,68.97675896,96.94217947,100,96.25116678,100,100,100,100
,,,95.72826688,99.29869723,98.74961549,98.88076685,100,100,100
,,,73.24849207,99.22864191,100,99.52097358,100,100,100
,,,70.56045168,99.04332726,99.04332726,99.22864191,99.29869723,100,100
,,,95.05709598,97.89885221,100,99.52097358,100,100,98.40707583
,,,98.40707583,99.56620501,100,100,100,100,100
,,,97.82922336,73.68228706,100,100,100,100,100
,,,91.85238113,98.8851344,100,100,98.83985043,100,100
,,,98.83732272,100,73.68228706,100,98.86914337,100,100
,,,,99.50965588,100,100,100,99.29869723,100
,,,,95.54744009,98.33993148,100,99.22864191,100,100
,,,,97.82922336,100,100,98.88076685,100,100
,,,,100,99.22864191,100,100,100,100
,,,,100,99.32766683,100,100,100,100
,,,,98.40707583,98.57118538,99.22864191,100,100,100
,,,,98.18045019,100,99.32766683,100,100,100
,,,,97.5478167,100,100,100,100,100
,,,,99.32766683,98.7858961,98.33993148,99.52097358,100,100
,,,,99.50965588,99.04332726,97.9112353,100,100,100
,,,,72.59908576,100,99.50965588,100,100,100
,,,,97.96136592,100,100,100,100,100
,,,,93.24838457,100,98.7858961,100,100,100
,,,,98.60399656,99.50965588,100,100,100,100
,,,,96.96781629,100,100,100,100,100
,,,,100,100,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,73.68228706,100,100,100
,,,,,98.8851344,100,100,100,100
,,,,,100,99.04332726,100,100,100
,,,,,99.29869723,100,100,100,100
,,,,,100,100,100,100,100
,,,,,98.40707583,100,100,100,100
,,,,,100,100,100,100,100
,,,,,97.5478167,100,99.04332726,100,100
,,,,,100,100,100,98.88076685,100
,,,,,98.35210111,100,100,100,100
,,,,,99.60926481,100,100,100,100
,,,,,100,100,99.32766683,100,100
,,,,,98.18045019,100,100,100,100
,,,,,96.45201487,100,99.52097358,100,100
,,,,,99.09542522,100,100,99.52097358,100
,,,,,73.72994239,100,100,100,100
,,,,,98.86914337,100,100,100,100
,,,,,100,100,100,100,100
,,,,,99.32766683,100,100,100,100
,,,,,99.46091601,100,100,100,100
,,,,,99.14308055,100,100,100,100
,,,,,100,100,100,98.86914337,100
,,,,,99.50965588,100,100,100,100
,,,,,100,100,100,100,100
,,,,,100,98.33993148,100,100,100
,,,,,98.12796586,100,100,100,100
,,,,,98.83985043,100,100,100,99.52097358
,,,,,100,98.35210111,100,100,100
,,,,,99.56620501,100,98.33993148,100,100
,,,,,98.8851344,100,100,100,99.29869723
,,,,,94.36325017,100,100,100,100
,,,,,,98.8851344,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,98.57118538,100,100,100
,,,,,,98.48063308,98.7858961,100,100
,,,,,,97.9713818,100,100,100
,,,,,,100,100,100,100
,,,,,,98.40707583,100,100,100
,,,,,,100,100,100,100
,,,,,,99.29869723,73.68228706,100,100
,,,,,,100,100,100,100
,,,,,,97.5478167,100,100,100
,,,,,,73.72994239,100,100,100
,,,,,,100,100,100,98.88076685
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,98.18045019,100,100,100
,,,,,,100,100,99.22864191,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,99.46091601,100,99.04332726,100
,,,,,,100,100,100,100
,,,,,,99.14308055,99.50965588,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,99.09542522,100,100,100
,,,,,,100,100,100,100
,,,,,,99.32766683,100,100,100
,,,,,,100,97.9112353,100,100
,,,,,,100,100,100,100
,,,,,,99.60926481,100,98.83985043,100
,,,,,,100,100,100,100
,,,,,,100,100,100,100
,,,,,,100,99.22864191,100,100
